fnode,endnode,lngth,depot
-8540624.3137_4816400.7692,-8540930.0871_4816050.8857,465.6020753,0
-8545399.7449_4807159.1058,-8545235.9488_4806937.1923,280.1913821,0
-8542210.645_4799650.6271,-8538931.4183_4802480.4936,4382.870837,0
-8540672.6733_4818726.6231,-8540672.3592_4818726.7429,0.336170864,0
-8542571.4964_4824700.4255,-8542500.3926_4824815.1795,142.238537,0
-8540805.9826_4816187.2016,-8541287.1869_4815616.4186,873.4331667,0
-8538066.4434_4817378.7677,-8536379.4267_4819745.7739,3325.317707,0
-8550654.9911_4814481.2454,-8551062.4308_4814501.0023,429.3640655,0
-8536668.5702_4813477.1624,-8536791.3773_4813525.1369,136.169549,0
-8541863.2468_4799532.232,-8549791.2849_4814508.9415,17774.27981,0
-8549460.9696_4805781.3143,-8550511.5209_4804648.5572,1654.583086,0
-8537651.3122_4817204.5267,-8537519.9842_4817414.582,247.7458665,0
-8546576.8309_4825453.0782,-8547479.5803_4822056.3437,3911.589355,0
-8551470.3316_4812290.109,-8551648.3528_4812322.3844,180.9400531,0
-8536267.7721_4824627.509,-8535783.0802_4825494.4323,999.4269535,0
-8538581.4648_4806357.1295,-8539281.798_4808650.2747,2792.087672,0
-8540967.561_4819028.5953,-8533395.176_4825052.4715,10567.04269,0
-8540732.5454_4805809.6198,-8540778.6659_4805380.9214,505.381808,0
-8548211.7026_4824439.7756,-8548212.0348_4824439.8592,0.3425577323,0
-8535770.2569_4819055.4577,-8535359.8196_4819555.6572,1208.789872,0
-8536221.6542_4814900.7388,-8535981.0814_4814825.2579,276.4991581,0
-8544349.6537_4824173.8951,-8545028.2302_4820365.1428,4695.402244,0
-8540750.7439_4805472.4316,-8540640.0667_4805569.1919,160.1829013,0
-8547303.5311_4824558.6142,-8546892.9776_4824309.5401,500.8866016,0
-8539429.4125_4817555.3541,-8541881.396_4817779.724,3824.87207,0
-8534927.1716_4816530.5236,-8534832.8998_4816978.6575,618.1886249,0
-8548197.8644_4824802.0055,-8548197.1045_4824801.0646,1.209438229,0
-8543414.3087_4822598.5152,-8541991.0369_4823590.5258,1756.554546,0
-8548212.0348_4824439.8592,-8548197.8644_4824802.0055,541.4925828,0
-8550656.5234_4807347.5849,-8551300.0442_4809433.7995,2243.582441,0
-8543865.6088_4807087.3324,-8544743.8227_4805083.9187,2544.319398,0
-8538186.7748_4815375.1226,-8535871.7714_4816269.1911,2602.892698,0
-8540748.3297_4818709.199,-8540748.6835_4818709.3667,0.3915325391,1
-8547191.7958_4817939.651,-8546104.8727_4818500.6787,1782.979667,0
-8548632.2735_4814567.7419,-8548615.0872_4815297.3294,743.5096353,0
-8538362.6279_4815500.9735,-8538511.8827_4815623.6598,209.4842431,0
-8543329.9632_4806936.9879,-8538413.8154_4801615.666,7762.409352,0
-8548727.0798_4811970.2709,-8550968.8112_4814780.8176,3732.520486,0
-8537785.2374_4815581.7178,-8535175.9145_4815052.3926,2903.174712,0
-8547443.8052_4823802.8047,-8548211.7026_4824439.7756,1250.130152,0
-8546131.2427_4807612.811,-8548579.6421_4805344.4432,3546.727449,0
-8534914.6548_4816519.5467,-8534927.1716_4816530.5236,16.64990154,0
-8552738.1373_4808272.8039,-8542886.4466_4800437.403,14460.77239,0
-8535770.2569_4819055.4577,-8535770.2569_4819055.4577,707.9751953,0
-8541996.3613_4818121.1074,-8542578.6395_4816341.5335,1994.340441,0
-8537369.1814_4802735.6802,-8538931.4183_4802480.4936,1596.920603,0
-8541665.7799_4808211.9822,-8541316.3126_4808013.204,433.528203,0
-8541991.0369_4823590.5258,-8541985.319_4825115.7417,1657.45036,0
-8540352.4148_4824348.0131,-8541427.6273_4824301.3203,1088.131071,0
-8538708.4047_4824429.5066,-8539163.1902_4821482.8882,3481.270119,0
-8541155.7722_4819153.9583,-8543481.6935_4817127.2412,3421.475499,0
-8541411.7449_4806265.1829,-8540830.0265_4807013.135,1163.476376,0
-8537434.3834_4812539.561,-8536111.6757_4813034.51,1420.734892,0
-8535476.2069_4818480.2899,-8536509.0997_4816954.1684,2322.447554,0
-8538274.3106_4816367.7332,-8538167.722_4816408.7788,465.9321673,0
-8545341.7994_4822316.8088,-8546160.2488_4821472.2446,1298.765983,0
-8542012.1405_4824295.2982,-8542885.1436_4824886.1961,1241.883218,0
-8537720.0655_4806541.3856,-8537329.03_4806116.9752,656.748298,0
-8536649.0194_4812043.8568,-8536601.0192_4812154.8618,121.0826141,0
-8536405.8534_4811879.2238,-8536531.4235_4811764.0029,171.5864263,0
-8537785.4348_4821896.6729,-8536749.0339_4821520.9608,1196.070919,0
-8537407.7865_4822524.6606,-8538199.7489_4824255.1141,1926.581694,0
-8541123.6369_4808724.0056,-8541368.5571_4809964.6955,1275.843563,0
-8542590.6855_4805598.9033,-8542692.5309_4803802.4594,1968.548996,0
-8547180.4566_4804351.3007,-8548222.0732_4802920.4953,1999.590634,0
-8539668.9793_4808816.1337,-8539854.1446_4808426.1017,439.9703062,0
-8542522.0513_4820769.8796,-8543755.5226_4819530.2259,1788.936878,0
-8537098.934_4804253.3067,-8540298.7317_4805620.3104,3836.123406,0
-8537343.8562_4817097.8629,-8537122.3637_4816874.0651,412.0173156,0
-8539134.5315_4815785.7539,-8539187.853_4815933.1033,218.041428,0
-8547361.185_4818251.1095,-8550073.1131_4818014.3577,3244.46773,0
-8540407.9924_4808834.2527,-8540260.7784_4808320.1776,550.2804992,0
-8536972.5934_4820858.7284,-8534463.7552_4819051.6593,4311.747253,0
-8543165.4628_4819069.7694,-8543605.4324_4818277.7807,980.7274577,0
-8545750.657_4823873.2829,-8545583.3722_4823599.9479,325.3169472,0
-8541991.0369_4823590.5258,-8540608.9584_4821266.9076,3019.393489,0
-8547256.3515_4820165.6311,-8549695.8482_4819384.204,2585.508084,0
-8547511.8718_4825449.6582,-8548197.1045_4824801.0646,1068.881496,0
-8536116.7071_4817331.8324,-8535524.3283_4817353.4072,615.1087837,0
-8548614.666_4808472.0895,-8549940.1511_4806777.3622,2424.96164,0
-8538558.5786_4816701.9732,-8538742.0015_4816603.6304,216.4750763,0
-8534550.8005_4824484.7904,-8534523.4937_4823669.0417,920.6395889,0
-8544471.7463_4807528.5917,-8545979.9368_4813112.4313,7075.037409,0
-8540296.7439_4822324.6432,-8540008.1604_4822235.7384,331.519721,0
-8536915.9422_4806555.4691,-8536189.1939_4805217.9467,1565.119114,0
-8538927.0466_4802366.1182,-8539948.6472_4800688.6376,2097.617908,0
-8541991.0369_4823590.5258,-8541491.1313_4825471.6794,2119.432635,0
-8539061.2719_4825026.1652,-8538945.1976_4824960.4155,135.8929454,0
-8536786.0355_4822632.8836,-8536972.5934_4820858.7284,1828.508018,0
-8539160.2211_4824504.3561,-8538715.522_4825482.7337,1102.057527,0
-8538362.6279_4815500.9735,-8538631.942_4815171.0812,449.2706969,0
-8540719.6653_4821527.3921,-8540938.9312_4821501.525,228.2000577,0
-8547082.9168_4814949.8332,-8549276.2909_4809845.5122,6817.737478,0
-8545349.1728_4807836.7314,-8545497.6107_4807080.5621,828.8549723,0
-8540672.6733_4818726.6231,-8540748.6835_4818709.3667,90.68807112,0
-8536701.601_4813223.285,-8536411.442_4813823.4376,715.2640431,0
-8538123.2516_4816471.8433,-8538187.8411_4816697.1654,236.9538158,0
-8537720.0655_4806541.3856,-8537777.1209_4806740.8739,211.3486624,0
-8538201.4711_4815534.999,-8538362.6279_4815500.9735,164.7095894,0
-8536860.4397_4812132.99,-8537016.9147_4812011.8028,207.5299991,0
-8546636.8044_4810810.7865,-8545807.1654_4811158.5261,956.6533267,0
-8539134.7381_4821629.6633,-8538993.8117_4821632.1395,140.9481528,0
-8539725.6082_4804960.4152,-8546140.057_4801681.09,7553.57339,0
-8535568.1125_4812849.9292,-8545398.5547_4825457.3878,16909.34991,0
-8538244.8432_4815766.6641,-8540146.0058_4814819.6489,2406.201258,0
-8538055.042_4816411.5882,-8537530.1311_4816321.3339,585.4187284,0
-8539907.9608_4820084.5204,-8539278.2706_4819788.3717,707.6635451,0
-8540415.0928_4809031.7571,-8540179.1533_4809667.8769,682.839793,0
-8541788.0891_4818893.7931,-8544331.1389_4819821.1683,2892.105493,0
-8545324.544_4810385.7624,-8545099.2986_4810470.7409,244.3198599,0
-8536972.5934_4820858.7284,-8540239.7222_4817706.5412,5546.692863,0
-8539138.1204_4815775.9173,-8539077.904_4815551.6183,244.5340929,0
-8539260.9976_4813676.3721,-8538290.2482_4815102.8466,1797.60937,0
-8550175.8051_4804966.7271,-8549621.7595_4803304.4017,2002.56879,0
-8549276.2909_4809845.5122,-8552467.3241_4809312.0423,3582.122687,0
-8551667.9782_4811936.7021,-8551510.6972_4809648.9435,3285.276924,0
-8537012.3326_4815301.599,-8537206.2866_4815051.5233,322.7819823,0
-8544731.2445_4820329.5402,-8543238.0985_4822089.6479,2399.5879,0
-8547417.7916_4823677.2953,-8545055.5574_4824746.5662,3096.060185,0
-8546384.7558_4802189.2429,-8547229.5726_4801599.4159,1051.870165,0
-8549791.2849_4814508.9415,-8550602.3538_4816106.3134,1847.999836,0
-8536115.2805_4811655.8506,-8538381.9802_4812926.9735,2787.859432,0
-8541886.1612_4820168.3206,-8540543.8451_4825475.4399,6226.4027,0
-8536092.8646_4819000.8417,-8535852.7407_4819182.1015,317.3211917,0
-8536636.4136_4807199.5821,-8536853.5483_4807190.2659,218.699737,0
-8540201.3819_4813362.2401,-8538902.5886_4813279.313,1902.696607,0
-8536298.1436_4823267.0746,-8536051.6214_4823109.6991,295.7857118,0
-8537491.5241_4824680.7659,-8538119.2892_4825197.346,858.377289,0
-8534927.1716_4816530.5236,-8539030.4939_4817340.032,4837.987509,0
-8546699.4195_4819725.8543,-8547352.415_4816365.2417,3776.616764,0
-8546584.6068_4814214.1593,-8550368.3074_4814031.0369,4224.776524,0
-8537969.2247_4815472.8841,-8537852.9583_4815231.2568,271.6973376,0
-8538270.1592_4816034.5948,-8538621.2878_4816091.7353,366.0545591,0
-8534509.5172_4824494.3728,-8534216.6437_4825500.6813,1115.120479,0
-8536450.6475_4808940.0671,-8536412.8625_4808927.7646,39.96332621,0
-8535827.4472_4812938.4255,-8535810.1025_4812375.6591,579.8463374,0
-8539595.793_4817140.5203,-8539446.0745_4817082.3866,160.6530857,0
-8549276.2909_4809845.5122,-8536632.3809_4806873.3251,15012.06018,0
-8535840.7965_4814007.722,-8535943.3428_4814177.9995,199.8368415,0
-8546912.6818_4814032.8856,-8546744.2819_4813897.3491,219.2053024,0
-8537469.6252_4824706.9863,-8537430.9185_4825487.8585,917.0828163,0
-8549943.7291_4814876.1018,-8550213.8626_4817506.4093,3089.106847,0
-8547263.9389_4816579.0796,-8547088.759_4816566.0188,198.5118344,0
-8535768.2562_4811725.9839,-8540465.1633_4808855.1529,6201.246041,0
-8547974.5202_4818177.5976,-8547982.6387_4817874.1543,306.5928792,0
-8550301.7419_4815839.0157,-8549814.6032_4818947.6751,3366.396516,0
-8540476.2052_4803709.9159,-8541367.5635_4803144.8892,1059.632917,0
-8551585.9112_4812096.612,-8551698.3944_4812141.3186,122.2127542,0
-8544023.508_4807179.1023,-8543003.9194_4809398.2984,2495.586772,0
-8536593.8466_4807089.7222,-8535527.8547_4810648.1467,4312.680359,0
-8535688.1457_4812891.9281,-8535590.9255_4813635.3738,1256.029659,0
-8537811.9862_4814680.8419,-8537910.7035_4812945.7167,1900.144752,0
-8540376.2861_4824564.0175,-8534937.4205_4824278.7112,6301.62028,0
-8544476.6261_4810023.6729,-8544074.8621_4810970.6544,1035.427989,0
-8547824.9424_4823916.8653,-8548479.2437_4823263.4186,941.9504899,0
-8550353.0642_4813900.7403,-8551849.6494_4811682.3523,2879.734377,0
-8536492.6669_4813655.0776,-8535514.665_4814046.2997,1119.144943,0
-8536115.2805_4811655.8506,-8535509.2102_4810623.5793,1211.592743,0
-8542733.5724_4806378.7797,-8540401.9628_4809047.8269,3941.946099,0
-8548325.4981_4823413.8321,-8547463.8629_4822932.7697,1036.822671,0
-8544425.6119_4804398.7057,-8547110.2055_4804273.0257,3306.69322,0
-8536560.8341_4815041.696,-8536648.805_4814632.7922,444.4251176,0
-8536397.1224_4823189.0461,-8536294.9067_4823103.9896,133.2370374,0
-8542177.0325_4810844.8406,-8544211.6189_4810699.9633,2338.38881,0